['BU  733'],[0.7],[0.8],[5.83],[8.9],['G7V  K5V'],[210.18],[270455.6]
['COU2350'],[0.4],[0.4],[7.68],[9.19],['A0'],[222.0],[502959.4]
['HDS   6'],[0.5],[0.5],[6.87],[10.06],['G5'],[604.26],[402506.7]
['BU 1014'],[1.5],[1.7],[7.0],[12.5],['G5'],[735.18],[314008.6]
['A  1501'],[1.1],[0.9],[7.59],[10.63],['F6V'],[743.11],[371107.6]
['BU  255'],[0.4],[0.5],[7.88],[8.97],['F5'],[1150.13],[282524.0]
['BU 1026'],[0.5],[0.3],[7.25],[8.46],['A7Vn F2V'],[1208.05],[533726.1]
['HDS  28'],[0.8],[0.8],[6.64],[9.72],['K0'],[1234.16],[444225.9]
['BU 1027'],[1.6],[1.7],[7.28],[10.54],['K2'],[1456.33],[213231.6]
['STT   4'],[0.5],[0.3],[7.94],[9.88],['G0'],[1644.54],[362929.4]
['HDS  38'],[0.2],[0.2],[7.83],[10.7],['B9'],[1700.2],[531435.8]
['A   647'],[0.7],[0.7],[7.17],[9.56],['F5'],[2033.0],[453032.2]
['BU 1093'],[0.4],[0.7],[6.73],[8.55],['A0V'],[2054.59],[105836.8]
['HDS  56'],[0.3],[0.3],[7.72],[10.63],['F8'],[2508.5],[480250.9]
['STT   9'],[1.3],[2.0],[6.87],[9.67],['G3III'],[2612.04],[564645.2]
['BU 1094'],[0.7],[0.3],[6.07],[8.45],['B9IIIn'],[3019.91],[595839.2]
['HDS  68'],[0.4],[0.4],[7.56],[9.97],['K0'],[3102.52],[501514.5]
['HDS  70'],[0.2],[0.3],[7.84],[9.37],['G5'],[3143.44],[192855.5]
['HO  211'],[1.4],[1.7],[7.95],[11.7],['B9.5V'],[3251.81],[355128.6]
['RBR   3'],[0.2],[0.2],[4.4],[13.1],['B5V  K6V'],[3652.84],[334309.7]
['HDS  85'],[0.2],[0.2],[7.77],[9.05],['K2'],[3701.56],[551302.1]
['STF  52'],[1.3],[1.4],[7.87],[8.95],['F6V'],[4411.27],[461408.2]
['BU  492'],[1.9],[2.0],[5.42],[11.5],['A2Vs'],[4517.2],[551317.1]
['A   812'],[1.8],[1.7],[7.67],[11.11],['K0'],[5147.06],[480323.6]
['STT  20'],[0.6],[0.6],[6.12],[7.19],['B9V'],[5435.22],[191118.4]
['HU  802'],[0.3],[0.4],[7.81],[10.01],['A0'],[5453.84],[492418.9]
['HDS 121'],[0.4],[0.4],[8.0],[10.87],['K0'],[5509.7],[465258.7]
['A  1511'],[1.3],[1.2],[6.9],[11.4],['A2'],[5526.4],[402257.0]
['HDS 124'],[0.3],[0.3],[7.85],[11.01],['F2'],[5613.17],[463914.8]
['BU  302'],[0.7],[0.3],[6.6],[8.77],['A2V'],[5818.89],[212416.2]
['A   925'],[1.3],[1.2],[7.77],[10.41],['G5'],[5841.44],[445722.5]
['HDS 132'],[0.3],[0.4],[7.52],[9.33],['G5'],[10029.62],[184129.7]
['MAD   1'],[1.0],[0.8],[7.66],[9.05],['A2'],[10035.58],[471914.6]
['BU 1161'],[0.5],[0.3],[7.08],[8.64],['B5'],[10253.78],[514753.2]
['STT  21'],[1.0],[1.2],[6.76],[8.07],['A9IV'],[10301.54],[472234.1]
['HDS 143'],[0.1],[0.2],[7.21],[8.34],['A2V...'],[10654.01],[595131.1]
['HDS 145'],[0.1],[0.1],[7.08],[8.41],['A0'],[10713.87],[493319.7]
['DRS   2'],[0.4],[0.4],[5.22],[9.13],['A3V'],[10757.11],[204421.6]
['WCK   1'],[0.4],[1.4],[5.3],[10.7],['G5Vp'],[10816.36],[545512.7]
['HDS 149'],[0.4],[0.4],[7.76],[10.68],['A5'],[10848.67],[302428.7]
['STT 515'],[0.4],[0.5],[4.59],[5.61],['B7Ve'],[10930.12],[471430.6]
['HDS 160'],[0.2],[0.1],[7.5],[9.8],['A5'],[11253.87],[513609.0]
['HO    6'],[1.3],[1.3],[7.9],[10.9],['G5'],[11525.77],[382911.6]
['STF 102'],[0.6],[0.5],[7.31],[9.18],['B9.5V'],[11747.96],[490030.5]
['COU 663'],[0.3],[0.3],[7.92],[9.45],['A5'],[11839.65],[334525.3]
['HU  523'],[0.4],[0.4],[7.3],[9.18],['B8IV'],[12040.56],[513541.2]
['BU    4'],[0.5],[0.6],[7.12],[8.86],['F1III'],[12119.23],[113212.3]
['CRJ   4'],[0.3],[0.3],[6.29],[11.0],['G8IV'],[12337.47],[341445.1]
['HDS 181'],[0.3],[0.3],[7.44],[9.61],['B9'],[12423.59],[365300.7]
['A  1907'],[1.6],[1.5],[7.8],[13.4],['F8'],[12543.2],[362126.7]
['HDS 193'],[0.3],[0.4],[7.67],[10.28],['A0'],[12806.65],[474509.3]
['BU  506'],[1.0],[0.6],[3.83],[7.51],['G8III'],[13128.99],[152045.0]
['HDS 215'],[0.5],[0.7],[6.94],[10.38],['F5'],[13744.36],[482445.8]
['BU    5'],[1.5],[0.6],[6.98],[9.2],['G3III'],[13915.21],[163731.9]
['A  1266'],[0.2],[0.2],[7.67],[9.23],['A2V'],[13917.39],[543601.8]
['MCY   2'],[0.6],[0.8],[4.95],[11.0],['G1.5V'],[14146.52],[423649.7]
['BU  870'],[1.0],[0.6],[6.29],[8.68],['A3V'],[14417.96],[573211.8]
['COU2557'],[0.7],[1.2],[7.2],[11.5],['K2III'],[15147.2],[181725.0]
['STF 183'],[0.6],[0.3],[7.67],[10.0],['F2'],[15507.39],[284752.6]
['STF 194'],[1.2],[1.3],[7.62],[9.46],['A3'],[15918.95],[2449
